City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,west island,-12.1568,96.8225,25.99,69,84,4.12,CC,1722877047
1,sungai penuh,-2.0833,101.3833,17.85,95,89,2.39,ID,1722877048
2,ilulissat,69.2167,-51.1,7.05,63,5,1.29,GL,1722877003
3,port-aux-francais,-49.35,70.2167,0.72,68,20,4.11,TF,1722876996
4,mumbwa,-14.9783,27.0619,22.4,13,1,1.3,ZM,1722877052
5,yellowknife,62.456,-114.3525,19.12,65,75,4.12,CA,1722877053
6,songadh,21.1667,73.5667,24.7,94,23,5.02,IN,1722877054
7,peace river,56.2501,-117.286,14.17,94,100,3.6,CA,1722877055
8,isafjordur,66.0755,-23.124,12.02,76,75,7.72,IS,1722877056
9,lorengau,-2.0226,147.2712,26.52,85,97,3.52,PG,1722877058
10,motueka,-41.1333,173.0167,3.94,85,7,1.83,NZ,1722877059
11,bredasdorp,-34.5322,20.0403,9.88,80,13,3.14,ZA,1722877060
12,chonchi,-42.6128,-73.8092,8.4,97,100,2.88,CL,1722877061
13,san antonio de pale,-1.4014,5.6325,22.37,72,96,4.27,GQ,1722876852
14,tamanrasset,22.785,5.5228,35.95,14,40,4.12,DZ,1722877065
15,meulaboh,4.1363,96.1285,25.32,88,90,1.73,ID,1722877066
16,inebolu,41.9747,33.7608,22.33,79,32,1.54,TR,1722877068
17,tolanaro,-25.0319,46.9987,22.04,83,0,2.06,MG,1722877069
18,carnarvon,-24.8667,113.6333,17.73,59,0,3.53,AU,1722877070
19,afaahiti,-17.75,-149.2833,20.93,75,88,4.94,PF,1722877071
20,villa gesell,-37.2639,-56.973,15.03,73,100,6.23,AR,1722876703
21,benguela,-12.5763,13.4055,20.87,81,76,2.82,AO,1722877073
22,massenya,11.4039,16.1705,25.99,79,100,1.36,TD,1722877074
23,kashmar,35.2383,58.4656,32.92,14,4,5.47,IR,1722877075
24,adamstown,-25.066,-130.1015,19.34,66,38,6.01,PN,1722876835
25,port mathurin,-19.6833,63.4167,22.35,77,3,8.48,MU,1722876913
26,port lincoln,-34.7333,135.8667,9.55,86,70,4.05,AU,1722877079
27,nar'yan-mar,67.6713,53.087,9.19,75,4,6.88,RU,1722877080
28,port alfred,-33.5906,26.891,12.88,71,1,1.34,ZA,1722877081
29,valdepenas,38.7621,-3.3848,38.43,10,0,5.92,ES,1722877082
30,ancud,-41.8697,-73.8203,8.03,85,100,8.86,CL,1722877083
31,vadso,70.0744,29.7487,15.49,76,0,6.17,NO,1722877085
32,luderitz,-26.6481,15.1594,14.07,64,0,8.55,NA,1722877086
33,constantia,44.1833,28.65,26.5,55,100,5.75,RO,1722877002
34,conceicao do araguaia,-8.2578,-49.2647,36.83,17,0,2.23,BR,1722877089
35,kurmuk,10.55,34.2833,20.44,97,100,1.27,SD,1722876854
36,nuku'alofa,-21.1333,-175.2,19.19,82,20,1.54,TO,1722876984
37,longyearbyen,78.2186,15.6401,11.91,71,20,7.72,SJ,1722877092
38,thompson,55.7435,-97.8558,19.09,45,20,4.12,CA,1722877093
39,cockburn town,21.4612,-71.1419,28.26,83,0,7.98,TC,1722877094
40,cabo san lucas,22.8909,-109.9124,31.95,50,24,2.68,MX,1722877051
41,san fernando de apure,7.8878,-67.4724,23.77,92,100,2.97,VE,1722877097
42,iquique,-20.2208,-70.1431,17.02,71,16,3.4,CL,1722877042
43,lagoa,39.05,-27.9833,24.1,85,53,7.48,PT,1722877099
44,freetown,8.484,-13.2299,26.03,81,98,3.77,SL,1722877100
45,bayan,46.0833,127.4,21.94,98,94,2.94,CN,1722877101
46,kant,27.8,79.8,31.33,60,91,3.08,IN,1722877102
47,bethel,41.3712,-73.414,31.34,60,0,0.89,US,1722877104
48,punta arenas,-53.15,-70.9167,1.06,75,0,5.14,CL,1722877037
49,ust'-kulom,61.6864,53.6902,14.29,89,98,2.89,RU,1722877107
50,puerto natales,-51.7236,-72.4875,1.25,80,40,0.0,CL,1722877047
51,grand island,40.925,-98.342,29.97,45,0,8.75,US,1722877109
52,bairnsdale,-37.8333,147.6167,5.03,95,20,2.16,AU,1722877110
53,coahuayana de hidalgo,18.7,-103.6583,31.8,57,81,1.64,MX,1722877111
54,callao,-12.0667,-77.15,20.23,81,68,4.81,PE,1722876849
55,yaren,-0.5472,166.916,28.6,72,98,5.24,NR,1722877113
56,college,64.8569,-147.8028,20.65,74,20,2.57,US,1722877114
57,albany,42.6001,-73.9662,29.89,63,39,0.45,US,1722876660
58,pandan,14.0453,124.1694,26.94,87,100,3.64,PH,1722877117
59,kigoma,-4.8769,29.6267,26.33,57,0,1.03,TZ,1722877118
60,edinburgh of the seven seas,-37.0676,-12.3116,13.89,87,64,13.18,SH,1722877119
61,arraial do cabo,-22.9661,-42.0278,28.98,54,0,6.17,BR,1722877120
62,alta sierra,35.7291,-118.5495,23.39,17,46,2.03,US,1722877121
63,ribeira grande,38.5167,-28.7,27.22,83,20,6.17,PT,1722877122
64,colonia,50.9333,6.95,28.31,47,16,2.63,DE,1722876946
65,howrah,22.5892,88.3103,29.0,89,40,2.06,IN,1722877124
66,mount gambier,-37.8333,140.7667,4.95,100,52,2.42,AU,1722877126
67,bilibino,68.0546,166.4372,1.98,73,99,2.0,RU,1722877127
68,puerto ayora,-0.7393,-90.3518,23.98,78,76,5.19,EC,1722877129
69,menaka,15.9182,2.4022,35.64,38,30,4.52,ML,1722877130
70,uturoa,-16.7333,-151.4333,26.21,69,100,5.44,PF,1722877131
71,blackmans bay,-43.0167,147.3167,10.41,74,95,0.89,AU,1722877132
72,grytviken,-54.2811,-36.5092,-6.26,76,100,4.24,GS,1722877015
73,crateus,-5.1783,-40.6775,34.13,25,3,3.68,BR,1722877134
74,acapulco de juarez,16.8634,-99.8901,27.36,65,96,1.42,MX,1722877056
75,naze,28.3667,129.4833,27.51,86,47,3.96,JP,1722877137
76,kodiak,57.79,-152.4072,11.73,100,100,4.63,US,1722877138
77,missao velha,-7.2497,-39.1431,32.27,33,40,2.57,BR,1722877139
78,adam,22.3756,57.5233,36.77,31,100,3.5,OM,1722877140
79,rio branco,-9.9747,-67.81,33.34,52,100,2.57,BR,1722877141
80,remire-montjoly,4.9167,-52.2667,33.02,55,40,5.14,GF,1722877076
81,sandnessjoen,66.0217,12.6316,25.29,81,45,4.41,NO,1722877143
82,kolonia,50.9333,6.95,28.31,48,16,2.63,DE,1722877144
83,huarmey,-10.0681,-78.1522,20.45,68,11,5.33,PE,1722877146
84,iqaluit,63.7506,-68.5145,6.85,93,100,1.54,CA,1722877024
85,tiksi,71.6872,128.8694,10.29,90,99,2.93,RU,1722877009
86,jianguang,28.1938,115.7836,26.36,86,100,2.06,CN,1722877149
87,susuman,62.7833,148.1667,10.57,52,100,3.52,RU,1722877150
88,cavelossim,15.1726,73.9419,27.99,86,31,2.33,IN,1722877151
89,aasiaat,68.7098,-52.8699,2.68,90,84,1.93,GL,1722877152
90,georgetown,5.4112,100.3354,28.96,78,20,1.54,MY,1722876896
91,puerto san jose,13.9256,-90.8244,29.03,70,82,1.04,GT,1722877155
92,hamilton,39.1834,-84.5333,32.99,58,0,2.24,US,1722877156
93,akureyri,65.6835,-18.0878,12.96,76,100,4.63,IS,1722877157
94,papatowai,-46.5619,169.4708,5.11,85,16,3.2,NZ,1722877158
95,nova vicosa,-17.8919,-39.3719,25.88,58,14,4.23,BR,1722877048
96,alaghsas,17.0187,8.0168,34.94,43,97,6.17,NE,1722877160
97,devils lake,48.1128,-98.8651,15.06,90,100,4.63,US,1722877161
98,na klang,17.3072,102.1889,24.53,89,100,1.84,TH,1722877162
99,olonkinbyen,70.9221,-8.7187,6.62,95,96,2.67,SJ,1722877163
100,bonito,-21.1211,-56.4819,35.19,19,1,4.92,BR,1722877010
101,segovia,41.1667,-4.0,35.8,15,1,5.72,ES,1722877166
102,juan griego,11.0817,-63.9655,29.07,74,61,5.66,VE,1722877167
